anum,n_terms,max_digit_len,wall_s,cpu_s,full_fit,prefix_only,n_struct_rev,error
A092939,49,5,10.679362899999433,3.96875,False,False,0,
A093797,60,3,21.246329399999922,8.0,False,False,0,
A094966,39,8,1.7031746000002386,0.734375,True,False,0,
A095297,33,9,1.615672199999608,1.0625,False,False,0,
A096729,33,7,3.107744100000673,1.09375,False,False,0,
A096796,35,10,5.479716700000608,1.640625,False,False,0,
A096982,60,3,22.196039499999642,7.84375,False,False,0,
A097965,31,11,3.9283307999994577,1.109375,False,False,0,
A098495,60,3,28.969390000000203,8.0625,False,False,0,
A099636,60,2,19.79824390000067,7.96875,False,False,0,
A099759,55,8,19.52333230000022,5.421875,False,False,0,
A100079,60,3,23.63235209999948,7.484375,False,False,0,
A101249,35,5,6.828791599999931,1.890625,False,False,0,
A102001,30,12,1.4567120000001523,0.453125,True,False,0,
A102422,60,2,44.42465579999953,16.90625,False,False,0,
A103241,33,14,2.46296220000022,1.234375,False,False,0,
A103368,60,1,4.575736099999631,1.796875,True,False,0,
A109826,60,3,19.34496560000025,7.140625,False,False,0,
A110289,43,4,8.606250800000453,3.265625,False,False,0,
A110494,45,5,7.627202300000135,3.71875,False,False,0,
A110769,60,3,19.061911799999507,7.21875,False,False,0,
A111349,42,4,14.266775099999904,3.734375,False,False,0,
A111698,60,2,73.7780745,28.90625,False,False,0,
A111910,55,6,8.615325400000074,6.140625,False,False,0,
A112789,45,4,10.584355400000277,3.90625,False,False,0,
A112968,60,2,24.803063700000166,7.015625,False,False,0,
A113167,60,3,20.804000399999495,7.78125,False,False,0,
A113565,60,1,21.68226549999963,8.40625,False,False,0,
A114313,60,2,10.473628499999904,7.890625,False,False,0,
A116612,56,3,23.70058590000008,7.734375,False,False,0,
A117370,60,1,16.30033370000001,5.671875,False,True,1,
A117505,51,6,16.546201599999222,5.21875,False,False,0,
A118054,60,4,23.236963999999716,6.6875,False,False,0,
A118080,60,1,21.04405940000015,8.515625,False,False,0,
A118733,60,3,21.513817000000017,8.125,False,False,0,
A118819,60,3,29.632700699999987,13.421875,True,False,0,
A119565,53,4,26.350383999999394,7.140625,False,False,0,
A120898,58,4,30.704755300000215,9.296875,False,False,0,
A121461,60,4,12.358162300000004,7.65625,False,False,0,
A122716,34,6,3.1731497000000672,1.390625,False,False,0,
A122821,60,1,10.697758899999826,6.75,False,False,0,
A123503,60,2,24.716455499999938,8.3125,False,False,0,
A124670,34,7,1.6167748999996547,1.359375,False,False,0,
A126135,38,7,4.597074299999804,1.859375,False,False,0,
A126315,60,2,32.02100599999994,9.921875,False,False,0,
A126846,60,3,18.582514800000354,7.65625,False,False,0,
A128633,46,5,8.780284200000096,3.90625,False,False,0,
A128978,60,2,22.405128800000057,7.34375,False,False,0,
A131247,55,2,17.90929099999994,5.640625,False,False,0,
A131436,60,4,9.179484199999933,3.453125,False,False,0,
