anum,n_terms,n_d,order,degree,n_id,L_H,n_singular,full_fit,prefix_only,n_revisions,n_struct_rev,final_lambda,error,name
A379845,45,,,,,,,False,False,0,0,1.0,,Even squarefree numbers x such that the product of prime indices of x is a multiple of the sum of prime indices of x.
A253397,53,,,,,,,False,False,0,0,1.0,,"T(n,k) = Number of (n+1) X (k+1) 0..1 arrays with every 2 X 2 subblock antidiagonal maximum minus diagonal minimum nondecreasing horizontally and diagonal maximum minus antidiagonal minimum nondecreasing vertically."
A100079,67,,,,,,,False,False,0,0,1.0,,"Starting from n = 0, a(n) = position of first occurrence of n in decimal places of Catalan's constant."
A168096,55,7,6,2,29,132,0,True,False,3,2,0.29398663697104677,,a(n) = number of natural numbers m such that n - 6 <= m <= n + 6.
A224214,51,,,,,,,False,False,0,0,1.0,,Number of nonnegative solutions to x^3 + y^3 <= n^3.
A315071,50,,,,,,,False,False,0,0,1.0,,Coordination sequence Gal.3.46.3 where Gal.u.t.v denotes the coordination sequence for a vertex of type v in tiling number t in the Galebach list of u-uniform tilings.
A265639,34,,,,,,,False,False,0,0,1.0,,Number of binary strings of length n that cannot be written as the concatenation of nontrivial powers of other strings.
A088572,66,,,,,,,False,False,0,0,1.0,,Numbers n such that (2n+1)^2 - 2 is prime.
A368992,121,6,,,,,,False,True,1,1,1.0,,a(n) = A336546(A005940(1+n)).
A019707,99,,,,,,,False,False,0,0,1.0,,Decimal expansion of sqrt(Pi)/5.
A141560,58,,,,,,,False,False,0,0,1.0,,"Nonprimes of form (prime(n)-r(n)), where A141468(n)=r(n)=n-th nonprime and prime(n)=n-th prime."
A348160,46,,,,,,,False,False,0,0,1.0,,Odd numbers not appearing in A348158.
A295827,68,,,,,,,False,False,0,0,1.0,,"a(n) = least odd k > 1 such that n and n*k have the same Hamming weight, or -1 if no such k exists."
A036062,30,,,,,,,False,False,0,0,1.0,,Increasing gaps among twin primes: the smallest prime of the second twin pair.
A061087,37,,,,,,,False,False,0,0,1.0,,a(n) = A061086(n) / n.
A311425,50,,,,,,,False,False,0,0,1.0,,Coordination sequence Gal.5.52.3 where Gal.u.t.v denotes the coordination sequence for a vertex of type v in tiling number t in the Galebach list of u-uniform tilings.
A340077,70,,,,,,,False,False,0,0,1.0,,Odd numbers k for which k-1 is a multiple of A053575(k) [the odd part of phi(k)].
A261699,106,,,,,,,False,False,0,0,1.0,,"Triangle read by rows: T(n,k), n >= 1, k >= 1, in which column k lists positive terms interleaved with k-1 zeros, starting in row k(k+1)/2. If k is odd the positive terms of column k are k's, otherwise if k is even the positive terms of column k are the odd numbers greater than k in increasing order."
A014821,81,7,,,,,,False,True,2,1,1.0,,Inverse of 812th cyclotomic polynomial.
A151782,57,,,,,,,False,False,0,0,1.0,,"a(1)=1; for n > 1, a(n)=8*7^{wt(n-1)-1}."
A175808,64,,,,,,,False,False,0,0,1.0,,n-th term is the length of a shortest common superstring of the binary representations of all natural numbers from 1 to n.
A222414,66,,,,,,,False,False,0,0,1.0,,a(n) = A001175(A222413(n)).
A019346,57,,,,,,,False,False,0,0,1.0,,Primes with primitive root 19.
A188216,48,,,,,,,False,False,0,0,1.0,,Expansion of 1 + Sum_{n>=1} (x^(n^2) / Product_{k>=n} (1 - x^k)).
A156610,55,,,,,,,False,False,0,0,1.0,,"Triangle T(n, k, m) = round( t(n,m)/(t(k,m)*t(n-k,m)) ), with T(0, k, m) = 1, where t(n, k) = Product_{j=1..n} A129862(k+1, j), t(n, 0) = n!, and m = 4, read by rows."
A349306,50,,,,,,,False,False,0,0,1.0,,Numbers k that divide A092694(k).
A279364,50,,,,,,,False,False,0,0,1.0,,Sum of 5th powers of proper divisors of n.
A131436,80,,,,,,,False,False,0,0,1.0,,"Triangle read by rows, (n-1) zeros followed by 2^n - 1."
A184871,120,,,,,,,False,False,0,0,1.0,,"n+floor(ns/r)+floor(nt/r), where r=log(2), s=log(3), t=log(5)."
A313489,50,,,,,,,False,False,0,0,1.0,,Coordination sequence Gal.6.609.2 where Gal.u.t.v denotes the coordination sequence for a vertex of type v in tiling number t in the Galebach list of u-uniform tilings.
A389501,55,,,,,,,False,False,0,0,1.0,,Numbers whose coreful divisors have a noninteger arithmetic mean.
A330933,33,,,,,,,False,False,0,0,1.0,,Starts of runs of 4 consecutive Niven numbers in base 2 (A049445).
A382585,105,,,,,,,False,False,0,0,1.0,,Decimal expansion of Sum_{p prime} 1/((p - 1)^2*p^2*(p + 1)).
A118733,63,,,,,,,False,False,0,0,1.0,,Numbers k such that 3^k has even digit sum.
A027623,32,,,,,,,False,False,0,0,1.0,,"a(0) = 1; for n > 0, a(n) = number of rings with n elements."
A232598,45,,,,,,,False,False,0,0,1.0,,"T(n,k) = Stirling2(n,k) * OrderedBell(k)."
A142459,45,,,,,,,False,False,0,0,1.0,,"Triangle read by rows: T(n,k) = (4n-4k+1) * T(n-1,k-1) + (4k-3) * T(n-1,k)."
A353489,106,15,,,,,,False,True,2,1,1.0,,"If A276086(n) is of the form 4k+3, then a(n) = 1, otherwise a(n) = 0."
A238533,33,,,,,,,False,False,0,0,1.0,,"Number of solutions to gcd(x^2 + y^2 + z^2 + t^2 + h^2, n) = 1 with x,y,z,t,h in [0,n-1]."
A137750,56,,,,,,,False,False,0,0,1.0,,Number of distinct residues in the Fibonacci sequence mod the n-th prime.
A240982,99,,,,,,,False,False,0,0,1.0,,Decimal expansion of the limit of a recursive sequence connected to the Plastic constant (A060006).
A073705,38,,,,,,,False,False,0,0,1.0,,a(n) = Sum_{ d divides n } (n/d)^(2d).
